"","X","AIC.full","AIC.disc","AIC.cont","Variable","Model","log10_pvalue"
"59","GSE14095_eset",NA,NA,NA,"stage","RAV",NA
"60","GSE14333_eset",124.389274741641,121.911999382359,120.484915106413,"stage","RAV",0.393217045246227
"61","GSE17536_eset",107.670138666514,117.172266239183,115.977451658212,"stage","RAV",0.0026333378859038
"62","GSE17538.GPL570_eset",41.0562497844203,38.0927874838015,35.9587851243727,"stage","RAV",0.574266122005936
"63","GSE2109_eset",464.585753340051,467.926627548772,460.09965474079,"stage","RAV",0.475767756604348
"64","GSE21510_eset",80.4481098653633,76.8173236432169,80.453365184329,"stage","RAV",0.0913858749771837
"65","GSE21815_eset",186.655451867927,184.721676686006,179.289787333032,"stage","RAV",0.959172871269607
"66","GSE26682.GPL570_eset",NA,NA,NA,"stage","RAV",NA
"67","GSE26682.GPL96_eset",NA,NA,NA,"stage","RAV",NA
"68","GSE33113_eset",NA,NA,NA,"stage","RAV",NA
"69","GSE39582_eset",222.529666057942,229.430108207481,218.362623827472,"stage","RAV",0.429084307877832
"70","TCGA.COAD_eset",176.259877000462,173.123240324351,170.283169132065,"stage","RAV",0.731474630450174
"71","TCGA.RNASeqV2_eset",252.375562619986,251.039292774306,250.701722542486,"stage","RAV",0.17607860125153
"72","NHS.HPFS_eset",529.840133649384,527.684638020203,528.169609309665,"stage","RAV",0.1758569317241
"73","GSE12225.GPL3676_eset",NA,NA,NA,"MSI status","CMS",NA
"74","GSE12945_eset",NA,NA,NA,"MSI status","CMS",NA
"75","GSE13067_eset",NA,NA,NA,"MSI status","CMS",NA
"76","GSE13294_eset",101.291355785885,139.410111183033,106.424596929267,"MSI status","CMS",7.14543171382943e-10
"77","GSE14095_eset",NA,NA,NA,"MSI status","CMS",NA
"78","GSE14333_eset",NA,NA,NA,"MSI status","CMS",NA
"79","GSE17536_eset",NA,NA,NA,"MSI status","CMS",NA
"80","GSE17538.GPL570_eset",NA,NA,NA,"MSI status","CMS",NA
"81","GSE2109_eset",NA,NA,NA,"MSI status","CMS",NA
"82","GSE21510_eset",NA,NA,NA,"MSI status","CMS",NA
"83","GSE21815_eset",NA,NA,NA,"MSI status","CMS",NA
"84","GSE26682.GPL570_eset",64.6190694935781,77.5914879831107,65.1467373326175,"MSI status","CMS",0.000206293789044307
"85","GSE26682.GPL96_eset",81.5036464700239,91.8440647037708,77.1827661883868,"MSI status","CMS",0.0007691618696829
"86","GSE33113_eset",NA,NA,NA,"MSI status","CMS",NA
"87","GSE39582_eset",189.588526107949,223.81008810328,206.728695608527,"MSI status","CMS",5.01525786723207e-09
"88","TCGA.COAD_eset",NA,NA,NA,"MSI status","CMS",NA
"89","TCGA.RNASeqV2_eset",79.8616214144154,129.885764193513,74.3828067045425,"MSI status","CMS",1.8569766836716e-12
"90","NHS.HPFS_eset",468.754081338911,532.030012106201,474.030310344971,"MSI status","CMS",2.46159868609693e-15
"91","GSE12225.GPL3676_eset",NA,NA,NA,"tumor location","CMS",NA
"92","GSE12945_eset",71.5099921813681,69.554970435329,66.6887247437363,"tumor location","CMS",0.359698489730837
"93","GSE13067_eset",NA,NA,NA,"tumor location","CMS",NA
"94","GSE13294_eset",NA,NA,NA,"tumor location","CMS",NA
"95","GSE14095_eset",NA,NA,NA,"tumor location","CMS",NA
"96","GSE14333_eset",188.761515835337,188.08185049264,187.459993819689,"tumor location","CMS",0.190107167064028
"97","GSE17536_eset",NA,NA,NA,"tumor location","CMS",NA
"98","GSE17538.GPL570_eset",NA,NA,NA,"tumor location","CMS",NA
"99","GSE2109_eset",NA,NA,NA,"tumor location","CMS",NA
"100","GSE21510_eset",NA,NA,NA,"tumor location","CMS",NA
"101","GSE21815_eset",NA,NA,NA,"tumor location","CMS",NA
"102","GSE26682.GPL570_eset",NA,NA,NA,"tumor location","CMS",NA
"103","GSE26682.GPL96_eset",NA,NA,NA,"tumor location","CMS",NA
"104","GSE33113_eset",NA,NA,NA,"tumor location","CMS",NA
"105","GSE39582_eset",666.782095047611,690.644276549812,662.609016116083,"tumor location","CMS",8.90849129386915e-07
"106","TCGA.COAD_eset",129.333025433631,125.462538970711,142.969014475754,"tumor location","CMS",0.937295415385778
"107","TCGA.RNASeqV2_eset",208.590891679772,212.263876783952,203.779910374448,"tumor location","CMS",0.021569121396103
"108","NHS.HPFS_eset",915.198657749865,929.401875480545,916.862445526504,"tumor location","CMS",0.000111486297684233
"109","GSE12225.GPL3676_eset",NA,NA,NA,"grade","CMS",NA
"110","GSE12945_eset",93.3379913762177,93.3162169080753,90.0015055901915,"grade","CMS",0.136816760102517
"111","GSE13067_eset",NA,NA,NA,"grade","CMS",NA
"112","GSE13294_eset",NA,NA,NA,"grade","CMS",NA
"113","GSE14095_eset",NA,NA,NA,"grade","CMS",NA
"114","GSE14333_eset",NA,NA,NA,"grade","CMS",NA
"115","GSE17536_eset",145.96908926069,144.908798042498,139.5562337644,"grade","CMS",0.229958966866377
"116","GSE17538.GPL570_eset",30.1353744243495,27.789933797245,28.1126760040357,"grade","CMS",0.437237091973983
"117","GSE2109_eset",357.520936160725,362.241712747604,353.863200398815,"grade","CMS",0.0127734268486294
"118","GSE21510_eset",NA,NA,NA,"grade","CMS",NA
"119","GSE21815_eset",NA,NA,NA,"grade","CMS",NA
"120","GSE26682.GPL570_eset",NA,NA,NA,"grade","CMS",NA
"121","GSE26682.GPL96_eset",NA,NA,NA,"grade","CMS",NA
"122","GSE33113_eset",NA,NA,NA,"grade","CMS",NA
"123","GSE39582_eset",NA,NA,NA,"grade","CMS",NA
"124","TCGA.COAD_eset",NA,NA,NA,"grade","CMS",NA
"125","TCGA.RNASeqV2_eset",NA,NA,NA,"grade","CMS",NA
"126","NHS.HPFS_eset",438.648648748416,457.48430664102,432.492795922258,"grade","CMS",1.09976499785682e-05
"127","GSE12225.GPL3676_eset",41.5387508351827,45.438567597288,37.5003356996528,"stage","CMS",0.01925646595171
"128","GSE12945_eset",94.0892043684782,92.1038074222848,89.6227547657301,"stage","CMS",0.36520314195988
"129","GSE13067_eset",NA,NA,NA,"stage","CMS",NA
"130","GSE13294_eset",NA,NA,NA,"stage","CMS",NA
"131","GSE14095_eset",NA,NA,NA,"stage","CMS",NA
"132","GSE14333_eset",124.389274741641,121.911999382359,120.484915106413,"stage","CMS",0.467029749293203
"133","GSE17536_eset",107.670138666514,117.172266239183,115.977451658212,"stage","CMS",0.00116963471732446
"134","GSE17538.GPL570_eset",41.0562497844203,38.0927874838015,35.9587851243727,"stage","CMS",0.595550643768828
"135","GSE2109_eset",464.585753340051,467.926627548772,460.09965474079,"stage","CMS",0.0254653365039933
"136","GSE21510_eset",80.4481098653633,76.8173236432169,80.453365184329,"stage","CMS",0.83143106437538
"137","GSE21815_eset",186.655451867927,184.721676686006,179.289787333032,"stage","CMS",0.355897536264478
"138","GSE26682.GPL570_eset",NA,NA,NA,"stage","CMS",NA
"139","GSE26682.GPL96_eset",NA,NA,NA,"stage","CMS",NA
"140","GSE33113_eset",NA,NA,NA,"stage","CMS",NA
"141","GSE39582_eset",222.529666057942,229.430108207481,218.362623827472,"stage","CMS",0.00429535499116467
"142","TCGA.COAD_eset",176.259877000462,173.123240324351,170.283169132065,"stage","CMS",0.649416077634362
"143","TCGA.RNASeqV2_eset",252.375562619986,251.039292774306,250.701722542486,"stage","CMS",0.263984450508296
"144","NHS.HPFS_eset",529.840133649384,527.684638020203,528.169609309665,"stage","CMS",0.397622512268274
