"","X","AIC.full","AIC.disc","AIC.cont","Variable","Model","log10_pvalue"
"59","GSE14095_eset",NA,NA,NA,"stage","RAV",NA
"60","GSE14333_eset",124.047790826132,121.911999382359,121.231615018641,"stage","RAV",0.268950637966164
"61","GSE17536_eset",107.852535042944,117.172266239183,119.559548278916,"stage","RAV",0.000570488013376508
"62","GSE17538.GPL570_eset",40.8219169834913,38.0927874838015,35.8219829854148,"stage","RAV",0.557814355167007
"63","GSE2109_eset",465.027571347447,467.926627548772,459.964636003607,"stage","RAV",0.56841212384824
"64","GSE21510_eset",77.3290189380153,76.8173236432169,81.7291895180388,"stage","RAV",0.0146108274607027
"65","GSE21815_eset",185.554872549256,184.721676686006,181.490870960899,"stage","RAV",0.41473681191241
"66","GSE26682.GPL570_eset",NA,NA,NA,"stage","RAV",NA
"67","GSE26682.GPL96_eset",NA,NA,NA,"stage","RAV",NA
"68","GSE33113_eset",NA,NA,NA,"stage","RAV",NA
"69","GSE39582_eset",227.281184872941,229.430108207481,223.357554923773,"stage","RAV",0.395768941371136
"70","TCGA.COAD_eset",173.081047362427,173.123240324351,169.704115474589,"stage","RAV",0.328203146573841
"71","TCGA.RNASeqV2_eset",250.970621330342,251.039292774306,250.440558668041,"stage","RAV",0.113042258725132
"72","NHS.HPFS_eset",531.604065149116,527.684638020203,533.090215579314,"stage","RAV",0.0500326044800067
"73","GSE12225.GPL3676_eset",NA,NA,NA,"MSI status","CMS",NA
"74","GSE12945_eset",NA,NA,NA,"MSI status","CMS",NA
"75","GSE13067_eset",NA,NA,NA,"MSI status","CMS",NA
"76","GSE13294_eset",105.207088733093,139.410111183033,112.084516909462,"MSI status","CMS",5.06196431228373e-09
"77","GSE14095_eset",NA,NA,NA,"MSI status","CMS",NA
"78","GSE14333_eset",NA,NA,NA,"MSI status","CMS",NA
"79","GSE17536_eset",NA,NA,NA,"MSI status","CMS",NA
"80","GSE17538.GPL570_eset",NA,NA,NA,"MSI status","CMS",NA
"81","GSE2109_eset",NA,NA,NA,"MSI status","CMS",NA
"82","GSE21510_eset",NA,NA,NA,"MSI status","CMS",NA
"83","GSE21815_eset",NA,NA,NA,"MSI status","CMS",NA
"84","GSE26682.GPL570_eset",64.6107672057209,77.5914879831107,67.0201862288487,"MSI status","CMS",0.000205439208804377
"85","GSE26682.GPL96_eset",84.9469473976024,91.8440647037708,79.8106614921308,"MSI status","CMS",0.00430250162115807
"86","GSE33113_eset",NA,NA,NA,"MSI status","CMS",NA
"87","GSE39582_eset",191.066438834912,223.81008810328,217.10046430734,"MSI status","CMS",1.05006924516228e-08
"88","TCGA.COAD_eset",NA,NA,NA,"MSI status","CMS",NA
"89","TCGA.RNASeqV2_eset",83.2789909931909,129.885764193513,79.6493094158579,"MSI status","CMS",1.0253657956937e-11
"90","NHS.HPFS_eset",469.077802418779,532.030012106201,481.242237160035,"MSI status","CMS",2.89409238660874e-15
"91","GSE12225.GPL3676_eset",NA,NA,NA,"tumor location","CMS",NA
"92","GSE12945_eset",72.48466661322,69.554970435329,66.6236871568749,"tumor location","CMS",0.585580327262747
"93","GSE13067_eset",NA,NA,NA,"tumor location","CMS",NA
"94","GSE13294_eset",NA,NA,NA,"tumor location","CMS",NA
"95","GSE14095_eset",NA,NA,NA,"tumor location","CMS",NA
"96","GSE14333_eset",188.047267833352,188.08185049264,186.602568659863,"tumor location","CMS",0.133015272085215
"97","GSE17536_eset",NA,NA,NA,"tumor location","CMS",NA
"98","GSE17538.GPL570_eset",NA,NA,NA,"tumor location","CMS",NA
"99","GSE2109_eset",NA,NA,NA,"tumor location","CMS",NA
"100","GSE21510_eset",NA,NA,NA,"tumor location","CMS",NA
"101","GSE21815_eset",NA,NA,NA,"tumor location","CMS",NA
"102","GSE26682.GPL570_eset",NA,NA,NA,"tumor location","CMS",NA
"103","GSE26682.GPL96_eset",NA,NA,NA,"tumor location","CMS",NA
"104","GSE33113_eset",NA,NA,NA,"tumor location","CMS",NA
"105","GSE39582_eset",671.785955990099,690.644276549812,668.785722362081,"tumor location","CMS",1.08737353233591e-05
"106","TCGA.COAD_eset",129.072545537181,125.462538970711,141.549990268658,"tumor location","CMS",0.822837359619881
"107","TCGA.RNASeqV2_eset",207.907466385212,212.263876783952,202.292720994922,"tumor location","CMS",0.0153259899930983
"108","NHS.HPFS_eset",916.836755198375,929.401875480545,932.042461114823,"tumor location","CMS",0.000252888939206037
"109","GSE12225.GPL3676_eset",NA,NA,NA,"grade","CMS",NA
"110","GSE12945_eset",92.3298892292968,93.3162169080753,88.8493025109322,"grade","CMS",0.082648067279279
"111","GSE13067_eset",NA,NA,NA,"grade","CMS",NA
"112","GSE13294_eset",NA,NA,NA,"grade","CMS",NA
"113","GSE14095_eset",NA,NA,NA,"grade","CMS",NA
"114","GSE14333_eset",NA,NA,NA,"grade","CMS",NA
"115","GSE17536_eset",146.220485913256,144.908798042498,140.176077906627,"grade","CMS",0.260759679344842
"116","GSE17538.GPL570_eset",30.9975867408583,27.789933797245,26.8313099738554,"grade","CMS",0.672889920433561
"117","GSE2109_eset",361.238417794493,362.241712747604,359.02548701829,"grade","CMS",0.0819498768486117
"118","GSE21510_eset",NA,NA,NA,"grade","CMS",NA
"119","GSE21815_eset",NA,NA,NA,"grade","CMS",NA
"120","GSE26682.GPL570_eset",NA,NA,NA,"grade","CMS",NA
"121","GSE26682.GPL96_eset",NA,NA,NA,"grade","CMS",NA
"122","GSE33113_eset",NA,NA,NA,"grade","CMS",NA
"123","GSE39582_eset",NA,NA,NA,"grade","CMS",NA
"124","TCGA.COAD_eset",NA,NA,NA,"grade","CMS",NA
"125","TCGA.RNASeqV2_eset",NA,NA,NA,"grade","CMS",NA
"126","NHS.HPFS_eset",447.976150825181,457.48430664102,451.948826785538,"grade","CMS",0.00116611460376644
"127","GSE12225.GPL3676_eset",47.3702620608549,45.438567597288,48.1840600146659,"stage","CMS",0.35552746753225
"128","GSE12945_eset",92.1192595423429,92.1038074222848,88.622936942496,"stage","CMS",0.136384941398589
"129","GSE13067_eset",NA,NA,NA,"stage","CMS",NA
"130","GSE13294_eset",NA,NA,NA,"stage","CMS",NA
"131","GSE14095_eset",NA,NA,NA,"stage","CMS",NA
"132","GSE14333_eset",124.047790826132,121.911999382359,121.231615018641,"stage","CMS",0.393724332561101
"133","GSE17536_eset",107.852535042944,117.172266239183,119.559548278916,"stage","CMS",0.00128131857043759
"134","GSE17538.GPL570_eset",40.8219169834913,38.0927874838015,35.8219829854148,"stage","CMS",0.52970488400301
"135","GSE2109_eset",465.027571347447,467.926627548772,459.964636003607,"stage","CMS",0.0317606206580951
"136","GSE21510_eset",77.3290189380153,76.8173236432169,81.7291895180388,"stage","CMS",0.174793089096971
"137","GSE21815_eset",185.554872549256,184.721676686006,181.490870960899,"stage","CMS",0.205275547471628
"138","GSE26682.GPL570_eset",NA,NA,NA,"stage","CMS",NA
"139","GSE26682.GPL96_eset",NA,NA,NA,"stage","CMS",NA
"140","GSE33113_eset",NA,NA,NA,"stage","CMS",NA
"141","GSE39582_eset",227.281184872941,229.430108207481,223.357554923773,"stage","CMS",0.0462145004645454
"142","TCGA.COAD_eset",173.081047362427,173.123240324351,169.704115474589,"stage","CMS",0.132510090602913
"143","TCGA.RNASeqV2_eset",250.970621330342,251.039292774306,250.440558668041,"stage","CMS",0.130767319514686
"144","NHS.HPFS_eset",531.604065149116,527.684638020203,533.090215579314,"stage","CMS",0.960514274317704
